Carmichael,Sacramento,100,10
Richvale,Butte,100,10
New Cuyama,Santa Barbara,100,10
Tomales,Marin,100,10
Anza,Riverside,100,10
Rodriguez Camp,Tulare,100,10
Ballard,Santa Barbara,100,10
Jacumba,San Diego,100,10
Westley,Stanislaus,100,10
Romoland,Riverside,100,10
Santa Ana,Orange,100,10
Sunol,Alameda,100,10
Lancaster,Los Angeles,100,10
Moorpark,Ventura,100,10
Graeagle,Plumas,100,10
Descanso,San Diego,100,10
Isleton,Sacramento,100,10
Orange Cove,Fresno,100,10
Pollock Pines,El Dorado,100,10
Macdoel,Siskiyou,100,10
Vernon,Los Angeles,100,10
West Sacramento,Yolo,100,10
San Geronimo,Marin,100,10
Parlier,Fresno,100,10
Long Barn,Tuolumne,100,10
Calexico,Imperial,100,10
Fairhaven,Humboldt,100,10
Compton,Los Angeles,100,10
San Andreas,Calaveras,100,10
Courtland,Sacramento,100,10
Herlong,Lassen,100,10
Desert Edge,Riverside,100,10
Chester,Plumas,100,10
Fort Bragg,Mendocino,100,10
Bootjack,Mariposa,100,10
Wheatland,Yuba,100,10
Chino,San Bernardino,100,10
Valley Ranch,Plumas,100,10
Valley Center,San Diego,100,10
Prunedale,Monterey,100,10
Taft Heights,Kern,100,10
Twain,Plumas,100,10
Grizzly Flats,El Dorado,100,10
Junction City,Trinity,100,10
Victorville,San Bernardino,100,10
Taft Mosswood,San Joaquin,100,10
Cedarville,Modoc,100,10
West Goshen,Tulare,100,10
Onyx,Kern,100,10
Downieville,Sierra,100,10
Rolling Hills,Los Angeles,100,10
Mesa Verde,Riverside,100,10
Sheridan,Placer,100,10
Hickman,Stanislaus,100,10
Mission Canyon,Santa Barbara,100,10
Running Springs,San Bernardino,100,10
Davenport,Santa Cruz,100,10
La Honda,San Mateo,100,10
Posey,Tulare,100,10
Jamul,San Diego,100,10
Ladera Heights,Los Angeles,100,10
Searles Valley,San Bernardino,100,10
Kingsburg,Fresno,100,10
Leona Valley,Los Angeles,100,10
Oakville,Napa,100,10
Elmira,Solano,100,10
Auburn Lake Trails,El Dorado,100,10
Lake Almanor Peninsula,Plumas,100,10
Eldridge,Sonoma,100,10
Shoshone,Inyo,100,10
Coachella,Riverside,100,10
Toro Canyon,Santa Barbara,100,10
Greenview,Siskiyou,100,10
Villa Park,Orange,100,10
Campo,San Diego,100,10
Morgan Hill,Santa Clara,100,10
Imperial Beach,San Diego,100,10
Norco,Riverside,100,10
Riverdale,Fresno,100,10
Los Altos,Santa Clara,100,10
Rolling Hills Estates,Los Angeles,100,10
Middletown,Lake,100,10
Sun Village,Los Angeles,100,10
Pismo Beach,San Luis Obispo,100,10
Campbell,Santa Clara,100,10
Fountain Valley,Orange,100,10
Trona,Inyo,100,10
Keeler,Inyo,100,10
Carmel Valley Village,Monterey,100,10
El Centro,Imperial,100,10
